case_id,no_dev_total,no_constr_total,dev_fitness
STNR000001,6,922,0.9934924078091106
STNR000002,0,922,1.0
STNR000003,1,922,0.9989154013015185
STNR000004,2,922,0.9978308026030369
STNR000005,9,922,0.9902386117136659
STNR000006,11,922,0.9880694143167028
STNR000007,5,922,0.9945770065075922
STNR000008,0,922,1.0
STNR000009,0,922,1.0
STNR000010,0,922,1.0
STNR000011,6,922,0.9934924078091106
STNR000012,1,922,0.9989154013015185
STNR000013,6,922,0.9934924078091106
STNR000014,1,922,0.9989154013015185
STNR000015,6,922,0.9934924078091106
STNR000016,1,922,0.9989154013015185
STNR000017,5,922,0.9945770065075922
STNR000018,7,922,0.9924078091106291
STNR000019,2,922,0.9978308026030369
STNR000020,7,922,0.9924078091106291
STNR000021,9,922,0.9902386117136659
STNR000022,1,922,0.9989154013015185
STNR000023,3,922,0.9967462039045553
STNR000024,7,922,0.9924078091106291
STNR000025,9,922,0.9902386117136659
STNR000026,4,922,0.9956616052060737
STNR000027,0,922,1.0
STNR000028,6,922,0.9934924078091106
STNR000029,1,922,0.9989154013015185
STNR000030,1,922,0.9989154013015185
STNR000031,1,922,0.9989154013015185
STNR000032,4,922,0.9956616052060737
STNR000033,0,922,1.0
STNR000034,6,922,0.9934924078091106
STNR000035,6,922,0.9934924078091106
STNR000036,7,922,0.9924078091106291
STNR000037,0,922,1.0
STNR000038,6,922,0.9934924078091106
STNR000039,0,922,1.0
STNR000040,1,922,0.9989154013015185
STNR000041,4,922,0.9956616052060737
STNR000042,3,922,0.9967462039045553
STNR000043,8,922,0.9913232104121475
STNR000044,0,922,1.0
STNR000045,1,922,0.9989154013015185
STNR000046,1,922,0.9989154013015185
STNR000047,0,922,1.0
STNR000048,9,922,0.9902386117136659
STNR000049,6,922,0.9934924078091106
STNR000050,4,922,0.9956616052060737
STNR000051,4,922,0.9956616052060737
STNR000052,3,922,0.9967462039045553
STNR000053,0,922,1.0
STNR000054,2,922,0.9978308026030369
STNR000055,0,922,1.0
STNR000057,1,922,0.9989154013015185
STNR000058,3,922,0.9967462039045553
STNR000059,0,922,1.0
STNR000060,0,922,1.0
STNR000061,9,922,0.9902386117136659
STNR000062,0,922,1.0
STNR000063,8,922,0.9913232104121475
STNR000064,0,922,1.0
STNR000065,5,922,0.9945770065075922
STNR000066,5,922,0.9945770065075922
STNR000067,24,922,0.9739696312364425
STNR000068,8,922,0.9913232104121475
STNR000069,0,922,1.0
STNR000070,3,922,0.9967462039045553
STNR000071,15,922,0.9837310195227765
STNR000072,8,922,0.9913232104121475
STNR000073,1,922,0.9989154013015185
STNR000074,17,922,0.9815618221258134
STNR000075,11,922,0.9880694143167028
STNR000076,18,922,0.9804772234273319
STNR000077,13,922,0.9859002169197397
STNR000078,3,922,0.9967462039045553
STNR000079,0,922,1.0
STNR000080,5,922,0.9945770065075922
STNR000081,0,922,1.0
STNR000082,0,922,1.0
STNR000083,10,922,0.9891540130151844
STNR000084,9,922,0.9902386117136659
STNR000085,0,922,1.0
STNR000086,3,922,0.9967462039045553
STNR000087,3,922,0.9967462039045553
STNR000088,4,922,0.9956616052060737
STNR000089,12,922,0.9869848156182213
STNR000090,1,922,0.9989154013015185
STNR000091,0,922,1.0
STNR000092,6,922,0.9934924078091106
STNR000093,4,922,0.9956616052060737
STNR000094,9,922,0.9902386117136659
STNR000095,4,922,0.9956616052060737
STNR000096,5,922,0.9945770065075922
STNR000097,4,922,0.9956616052060737
STNR000098,1,922,0.9989154013015185
STNR000099,3,922,0.9967462039045553
STNR000100,7,922,0.9924078091106291
STNR000101,1,922,0.9989154013015185
STNR000102,4,922,0.9956616052060737
STNR000103,4,922,0.9956616052060737
STNR000104,3,922,0.9967462039045553
STNR000105,1,922,0.9989154013015185
STNR000106,0,922,1.0
STNR000107,9,922,0.9902386117136659
STNR000108,5,922,0.9945770065075922
STNR000109,5,922,0.9945770065075922
STNR000110,16,922,0.982646420824295
STNR000111,1,922,0.9989154013015185
STNR000112,15,922,0.9837310195227765
STNR000113,7,922,0.9924078091106291
STNR000114,7,922,0.9924078091106291
STNR000115,10,922,0.9891540130151844
STNR000116,2,922,0.9978308026030369
STNR000117,0,922,1.0
STNR000118,7,922,0.9924078091106291
STNR000119,7,922,0.9924078091106291
STNR000120,6,922,0.9934924078091106
STNR000121,8,922,0.9913232104121475
STNR000122,9,922,0.9902386117136659
STNR000123,5,922,0.9945770065075922
STNR000124,2,922,0.9978308026030369
STNR000125,11,922,0.9880694143167028
STNR000126,0,922,1.0
STNR000127,0,922,1.0
STNR000128,4,922,0.9956616052060737
STNR000129,10,922,0.9891540130151844
STNR000130,2,922,0.9978308026030369
STNR000131,1,922,0.9989154013015185
STNR000132,10,922,0.9891540130151844
STNR000133,5,922,0.9945770065075922
STNR000134,8,922,0.9913232104121475
STNR000135,4,922,0.9956616052060737
STNR000136,11,922,0.9880694143167028
STNR000137,3,922,0.9967462039045553
STNR000138,7,922,0.9924078091106291
STNR000139,3,922,0.9967462039045553
STNR000140,7,922,0.9924078091106291
STNR000141,8,922,0.9913232104121475
STNR000142,2,922,0.9978308026030369
STNR000143,6,922,0.9934924078091106
STNR000144,8,922,0.9913232104121475
STNR000145,2,922,0.9978308026030369
STNR000146,2,922,0.9978308026030369
STNR000147,9,922,0.9902386117136659
STNR000148,3,922,0.9967462039045553
STNR000149,7,922,0.9924078091106291
STNR000150,8,922,0.9913232104121475
STNR000151,4,922,0.9956616052060737
STNR000152,10,922,0.9891540130151844
STNR000153,2,922,0.9978308026030369
STNR000154,18,922,0.9804772234273319
STNR000155,0,922,1.0
STNR000156,6,922,0.9934924078091106
STNR000157,3,922,0.9967462039045553
STNR000158,13,922,0.9859002169197397
STNR000159,16,922,0.982646420824295
STNR000160,6,922,0.9934924078091106
STNR000161,19,922,0.9793926247288504
STNR000162,12,922,0.9869848156182213
STNR000163,15,922,0.9837310195227765
STNR000164,18,922,0.9804772234273319
STNR000165,4,922,0.9956616052060737
STNR000166,8,922,0.9913232104121475
STNR000167,14,922,0.9848156182212582
STNR000168,12,922,0.9869848156182213
STNR000169,11,922,0.9880694143167028
STNR000170,1,922,0.9989154013015185
STNR000171,8,922,0.9913232104121475
STNR000172,0,922,1.0
STNR000173,0,922,1.0
STNR000174,0,922,1.0
STNR000175,6,922,0.9934924078091106
STNR000176,0,922,1.0
STNR000177,8,922,0.9913232104121475
STNR000178,0,922,1.0
STNR000179,0,922,1.0
STNR000180,11,922,0.9880694143167028
STNR000181,16,922,0.982646420824295
STNR000182,8,922,0.9913232104121475
STNR000183,16,922,0.982646420824295
STNR000184,2,922,0.9978308026030369
STNR000185,8,922,0.9913232104121475
STNR000186,0,922,1.0
STNR000187,10,922,0.9891540130151844
STNR000188,8,922,0.9913232104121475
STNR000189,12,922,0.9869848156182213
STNR000190,8,922,0.9913232104121475
STNR000191,12,922,0.9869848156182213
STNR000192,20,922,0.9783080260303688
STNR000193,19,922,0.9793926247288504
STNR000194,13,922,0.9859002169197397
STNR000195,9,922,0.9902386117136659
STNR000196,13,922,0.9859002169197397
STNR000197,13,922,0.9859002169197397
STNR000198,11,922,0.9880694143167028
STNR000199,14,922,0.9848156182212582
STNR000200,12,922,0.9869848156182213
STNR000201,11,922,0.9880694143167028
STNR000202,11,922,0.9880694143167028
STNR000203,8,922,0.9913232104121475
STNR000204,9,922,0.9902386117136659
STNR000205,16,922,0.982646420824295
STNR000206,8,922,0.9913232104121475
STNR000207,15,922,0.9837310195227765
STNR000208,8,922,0.9913232104121475
STNR000209,7,922,0.9924078091106291
STNR000210,0,922,1.0
STNR000211,0,922,1.0
STNR000212,11,922,0.9880694143167028
STNR000213,1,922,0.9989154013015185
