concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
Start,complete,Start,2018-01-23 00:00:00+00:00,Start,Start,Start,STNR000002,Variant 270,270,Fluxicon Disco
88383,complete,"Konstruktion og mekanik, cand.polyt.",2018-01-23 00:00:00+00:00,"Konstruktion og mekanik, cand.polyt.",88383,BE,STNR000002,Variant 270,270,Fluxicon Disco
End,complete,End,2018-01-23 00:00:00+00:00,End,End,End,STNR000002,Variant 270,270,Fluxicon Disco
Start,complete,Start,2017-12-22 00:00:00+00:00,Start,Start,Start,STNR000008,Variant 276,276,Fluxicon Disco
2101,complete,"Softwareteknologi, ingeniør bach.",2017-12-22 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2101,4,STNR000008,Variant 276,276,Fluxicon Disco
2121,complete,"Softwareteknologi, ingeniør bach.",2018-01-19 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2121,7,STNR000008,Variant 276,276,Fluxicon Disco
1017,complete,"Softwareteknologi, ingeniør bach.",2018-01-22 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",1017,2,STNR000008,Variant 276,276,Fluxicon Disco
2402,complete,"Softwareteknologi, ingeniør bach.",2018-05-29 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2402,4,STNR000008,Variant 276,276,Fluxicon Disco
2161,complete,"Softwareteknologi, ingeniør bach.",2018-06-15 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2161,10,STNR000008,Variant 276,276,Fluxicon Disco
2105,complete,"Softwareteknologi, ingeniør bach.",2018-06-17 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2105,2,STNR000008,Variant 276,276,Fluxicon Disco
2128,complete,"Softwareteknologi, ingeniør bach.",2018-06-21 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2128,BE,STNR000008,Variant 276,276,Fluxicon Disco
1005,complete,"Softwareteknologi, ingeniør bach.",2018-06-22 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",1005,7,STNR000008,Variant 276,276,Fluxicon Disco
2450,complete,"Softwareteknologi, ingeniør bach.",2019-01-09 00:00:00+00:00,"Softwareteknologi, ingeniør bach.",2450,7,STNR000008,Variant 276,276,Fluxicon Disco
