concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
PRA62-30,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-03-14 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",PRA62-30,BE,STNR000434,Variant 655,655,Fluxicon Disco
1035,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-06-01 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",1035,2,STNR000434,Variant 655,655,Fluxicon Disco
11859,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-06-11 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11859,10,STNR000434,Variant 655,655,Fluxicon Disco
DE11-20,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-09-24 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",DE11-20,7,STNR000434,Variant 655,655,Fluxicon Disco
S11-05-1,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-11-01 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",S11-05-1,4,STNR000434,Variant 655,655,Fluxicon Disco
PRA62-30,complete,"Byggeri og infrastruktur, ing.prof.bach.",2017-09-04 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",PRA62-30,BE,STNR000528,Variant 747,747,Fluxicon Disco
62363,complete,"Byggeri og infrastruktur, ing.prof.bach.",2017-12-12 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",62363,2,STNR000528,Variant 747,747,Fluxicon Disco
62999,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-01-18 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",62999,4,STNR000528,Variant 747,747,Fluxicon Disco
42430,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-02-09 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",42430,7,STNR000528,Variant 747,747,Fluxicon Disco
DE62-20,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-04-03 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",DE62-20,EM,STNR000528,Variant 747,747,Fluxicon Disco
11562,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-06-04 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",11562,4,STNR000528,Variant 747,747,Fluxicon Disco
1037,complete,"Byggeri og infrastruktur, ing.prof.bach.",2018-09-13 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",1037,0,STNR000528,Variant 747,747,Fluxicon Disco
