UDDANNELSE,Conformant,Non-Conformant
"Advanced Materials and Healthcare Engineering, cand.polyt.",9.8,9.574074074074074
"Akvatisk videnskab og teknologi, cand.polyt.",9.433206106870228,8.403508771929825
"Anvendt kemi, cand.polyt.",9.011976047904191,8.447274458462271
"Arktisk byggeri og infrastruktur, ing.prof.bach.",6.936305732484076,7.095797280593325
"Autonome systemer, cand.polyt.",9.04752275025278,8.778969957081545
"Bioinformatik og systembiologi, cand.polyt.",10.455696202531646,9.09823677581864
"Bioteknologi, cand.polyt.",10.210592686002522,9.51882671104639
"Bioteknologi, ing.bach.",6.875722543352601,8.803400954653938
"Business analytics, cand.polyt.",7.580459770114943,9.376829268292683
"Bygge og anlæg, ingeniør bach.",6.250457038391225,7.504488778054863
"Byggeri og infrastruktur, ing.prof.bach.",7.010989010989011,6.5841631104789
"Byggeteknologi, cand.polyt.",9.726882559500586,8.779857972885733
"Bygningsdesign, cand.polyt.",9.659467604218985,9.006514657980455
"Bygningsdesign, ing.bach.",6.790123456790123,7.616216216216216
"Bygningsdesign, ing.prof.bach.",6.747048903878584,7.180804953560371
"Bæredygtig energi, cand.polyt.",8.730220492866406,8.689356167353132
"Bæredygtigt energidesign, ingeniør bach.",8.111510791366907,8.89983579638752
"Cyberteknologi, ingeniør bach.",5.812812812812813,6.844806007509387
"Data science og datamangament, ing.bach.",7.1915820029027575,8.113505747126437
"Design og innovation, cand.polyt.",9.625946969696969,9.814874264312467
"Design og innovation, ing.bach.",8.84156902699949,9.13006993006993
"Eksport og teknologi, ing.prof.bach.",6.6639722863741335,6.698895603250677
"Elektrisk energiteknologi, ing.prof.bach.",6.43984962406015,8.250737463126844
"Elektroteknologi, cand.polyt.",8.478285714285715,8.476716482564436
"Elektroteknologi, ing.prof.bach.",5.8832,6.505729564553094
"Elektroteknologi, ingeniør bach.",7.011267605633803,7.801400381922343
"Farmateknologi, cand.polyt.",9.645133505598622,9.171458261170766
"Fiskeriteknologi, ing.prof.bach.",6.696969696969697,
"Fotonik, cand.polyt.",9.41812865497076,8.987437185929648
"Fysik og nanoteknologi, cand.polyt.",10.073394495412844,9.391662849289968
"Fysik og nanoteknologi, ing.bach.",7.573491928632116,7.490678404971518
"Fødevaresikkerhed og -kvalitet, ing.prof.bach.",5.6976744186046515,6.181399245915375
"Fødevareteknologi, cand.polyt.",8.602333931777379,7.902684563758389
"Geofysik og rumteknologi, cand.polyt.",10.159340659340659,9.08500772797527
"Geofysik og rumteknologi, ing.bach.",6.087774294670846,7.2254156100309945
"Industriel økonomi og teknologiledelse, cand.polyt.",9.471600688468158,9.224805300476579
"Informationsteknologi, cand.polyt.",8.241933458882611,8.31891891891892
"It og økonomi, ing.prof.bach.",6.753796594569719,7.804568527918781
"It-elektronik, ing.prof.bach.",6.6064659977703455,7.647435897435898
"Kemi og teknologi, ing.bach.",6.55784469096672,8.019962486602358
"Kemi- og bioteknologi, ing.prof.bach.",4.772657450076805,5.627179725645199
"Kemisk og biokemisk teknologi, cand.polyt.",9.515731874145008,8.824575112326626
"Kemiteknik og International Business, ing.prof.bach.",5.725,6.251162790697674
"Kommunikationsteknologier og systemdesign, cand.polyt.",9.685413005272407,8.81842105263158
"Konstruktion og mekanik, cand.polyt.",9.554029304029305,8.784637040016086
"Kunstig intelligens og data, ingeniør bach.",8.433890987587695,
"Kvantitativ biologi og sygdomsmodellering, ingeniør bach.",8.061818181818182,7.104196816208393
"Life Science og Teknologi, ing.bach.",7.090909090909091,
"Lyd og akustisk teknologi, cand.polyt.",9.027833001988071,8.50088809946714
"Maskinteknik, ing.prof.bach.",5.6204002582311166,6.465642053680811
"Matematik og teknologi, ingeniør bach.",8.949911190053285,8.76563022400535
"Matematisk modellering og computing, cand.polyt.",8.902718882514343,9.287216562602694
"Materiale- og procesteknologi, cand.polyt.",9.552053486150907,8.943470295734102
"Medicin og teknologi, cand.polyt.",8.981856038072577,7.60166468489893
"Medicin og teknologi, ing.bach.",7.437546193643755,7.470637938318546
"Menneskeorienteret kunstig intelligens, cand.polyt.",8.827705900915115,8.0
"Miljøteknologi, cand.polyt.",9.170557717250324,8.868150684931507
"Miljøvidenskab, ing.bach.",7.973856209150327,7.867469879518072
"Mobilitet, Transport og Logistik, ing.prof.bach.",6.868309260832626,7.0102189781021895
"Olie- og gasteknologi, cand.polyt.",8.070763500931099,6.208194905869324
"Proces og innovation, ing.prof.bach.",9.098039215686274,8.30401819560273
"Produktion (Produktionsteknik), ing.prof.bach.",7.508571428571429,7.335581787521079
"Produktion og konstruktion, ingeniør bach.",6.7947019867549665,8.19894720544976
"Softwareteknologi, ing.prof.bach.",7.039662051161699,7.364440513047324
"Softwareteknologi, ingeniør bach.",8.16345694731816,7.87
"Sundhedsteknologi, ing.prof.bach.",7.017699115044247,7.05505558496559
"Svagstrøm, Ingeniør prof, bach.",8.2,
"Technology Entrepreneurship, cand.tech.",9.661016949152541,10.0
"Teknisk biomedicin, ing.bach.",7.301282051282051,7.76963906581741
"Teknisk videnskab, ing.bach.",6.419434194341943,7.108117816091954
"Transport og logistik, cand.polyt.",8.661710037174721,8.951530612244898
"Vindenergi, cand.polyt.",8.869635193133048,8.77620632279534
"Kvantitativ biologi og sygdomsmodellering, cand.polyt.",,8.666666666666666
