concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
42582,complete,"Data science og datamangament, ing.bach.",2018-12-12 00:00:00+00:00,"Data science og datamangament, ing.bach.",42582,7,STNR000016,Variant 284,284,Fluxicon Disco
42580,complete,"Data science og datamangament, ing.bach.",2018-12-19 00:00:00+00:00,"Data science og datamangament, ing.bach.",42580,10,STNR000016,Variant 284,284,Fluxicon Disco
1017,complete,"Data science og datamangament, ing.bach.",2019-01-18 00:00:00+00:00,"Data science og datamangament, ing.bach.",1017,4,STNR000016,Variant 284,284,Fluxicon Disco
2633,complete,"Data science og datamangament, ing.bach.",2019-03-06 00:00:00+00:00,"Data science og datamangament, ing.bach.",2633,4,STNR000016,Variant 284,284,Fluxicon Disco
2170,complete,"Data science og datamangament, ing.bach.",2019-06-03 00:00:00+00:00,"Data science og datamangament, ing.bach.",2170,4,STNR000016,Variant 284,284,Fluxicon Disco
42101,complete,"Data science og datamangament, ing.bach.",2019-06-18 00:00:00+00:00,"Data science og datamangament, ing.bach.",42101,7,STNR000016,Variant 284,284,Fluxicon Disco
1005,complete,"Data science og datamangament, ing.bach.",2019-06-20 00:00:00+00:00,"Data science og datamangament, ing.bach.",1005,7,STNR000016,Variant 284,284,Fluxicon Disco
42415,complete,"Data science og datamangament, ing.bach.",2019-06-24 00:00:00+00:00,"Data science og datamangament, ing.bach.",42415,2,STNR000016,Variant 284,284,Fluxicon Disco
2403,complete,"Data science og datamangament, ing.bach.",2019-07-12 00:00:00+00:00,"Data science og datamangament, ing.bach.",2403,7,STNR000016,Variant 284,284,Fluxicon Disco
42421,complete,"Data science og datamangament, ing.bach.",2019-12-27 00:00:00+00:00,"Data science og datamangament, ing.bach.",42421,10,STNR000016,Variant 284,284,Fluxicon Disco
1034,complete,"Data science og datamangament, ing.bach.",2020-01-08 00:00:00+00:00,"Data science og datamangament, ing.bach.",1034,10,STNR000016,Variant 284,284,Fluxicon Disco
2450,complete,"Data science og datamangament, ing.bach.",2020-01-08 00:00:00+00:00,"Data science og datamangament, ing.bach.",2450,4,STNR000016,Variant 284,284,Fluxicon Disco
42005,complete,"Data science og datamangament, ing.bach.",2020-01-20 00:00:00+00:00,"Data science og datamangament, ing.bach.",42005,2,STNR000016,Variant 284,284,Fluxicon Disco
10052,complete,"Data science og datamangament, ing.bach.",2020-02-12 00:00:00+00:00,"Data science og datamangament, ing.bach.",10052,7,STNR000016,Variant 284,284,Fluxicon Disco
42583,complete,"Data science og datamangament, ing.bach.",2020-05-29 00:00:00+00:00,"Data science og datamangament, ing.bach.",42583,10,STNR000016,Variant 284,284,Fluxicon Disco
10054,complete,"Data science og datamangament, ing.bach.",2020-06-16 00:00:00+00:00,"Data science og datamangament, ing.bach.",10054,7,STNR000016,Variant 284,284,Fluxicon Disco
2105,complete,"Data science og datamangament, ing.bach.",2020-06-22 00:00:00+00:00,"Data science og datamangament, ing.bach.",2105,2,STNR000016,Variant 284,284,Fluxicon Disco
42584,complete,"Data science og datamangament, ing.bach.",2020-06-24 00:00:00+00:00,"Data science og datamangament, ing.bach.",42584,12,STNR000016,Variant 284,284,Fluxicon Disco
42586-1,complete,"Data science og datamangament, ing.bach.",2020-06-26 00:00:00+00:00,"Data science og datamangament, ing.bach.",42586-1,4,STNR000016,Variant 284,284,Fluxicon Disco
42085,complete,"Data science og datamangament, ing.bach.",2020-12-13 00:00:00+00:00,"Data science og datamangament, ing.bach.",42085,7,STNR000016,Variant 284,284,Fluxicon Disco
2502,complete,"Data science og datamangament, ing.bach.",2020-12-21 00:00:00+00:00,"Data science og datamangament, ing.bach.",2502,10,STNR000016,Variant 284,284,Fluxicon Disco
2805,complete,"Data science og datamangament, ing.bach.",2021-01-06 00:00:00+00:00,"Data science og datamangament, ing.bach.",2805,7,STNR000016,Variant 284,284,Fluxicon Disco
42577,complete,"Data science og datamangament, ing.bach.",2021-01-11 00:00:00+00:00,"Data science og datamangament, ing.bach.",42577,10,STNR000016,Variant 284,284,Fluxicon Disco
42114,complete,"Data science og datamangament, ing.bach.",2021-01-20 00:00:00+00:00,"Data science og datamangament, ing.bach.",42114,4,STNR000016,Variant 284,284,Fluxicon Disco
88383,complete,"Data science og datamangament, ing.bach.",2021-02-08 00:00:00+00:00,"Data science og datamangament, ing.bach.",88383,BE,STNR000016,Variant 284,284,Fluxicon Disco
B01-15,complete,"Data science og datamangament, ing.bach.",2021-05-12 00:00:00+00:00,"Data science og datamangament, ing.bach.",B01-15,7,STNR000016,Variant 284,284,Fluxicon Disco
42610,complete,"Data science og datamangament, ing.bach.",2021-06-15 00:00:00+00:00,"Data science og datamangament, ing.bach.",42610,BE,STNR000016,Variant 284,284,Fluxicon Disco
11342,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2019-06-12 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11342,2,STNR000023,Variant 291,291,Fluxicon Disco
