StudentID,OrderedCourseSequence
STNR000001,"['41030-1', '88383', '42062', 'B41-15', '41661', '2402', '42085', '41667', '41744', 'S47-05-1', '41632', '41737', '41738', '42372', '28213', '42452', '41747', '41656', '41748', '42429', 'E41-30']"
STNR000002,['88383']
STNR000003,"['27002', '26050', '27007', '27022', '27023', '1005', '26400', '2633', '26400', '1005', '27028', '27026', '27015', '27034', '2402', '27051-1', '10050', '27035-1', '42610', '22141', '22111', '88383', 'B27-20', '23531', '27410', '27230', '27430', '28480', '27302', '27322', '27455']"
STNR000004,"['26010', '1005', '2633', '27002', '12202', '26050', '12143', '25105', '1005', '12205', '12003', '42611', '12139', '12102', '41102', '12210', '12320', '42415', '10022', '42270', '2402', '88383', '1035', '2402', '11462', 'B12-15']"
STNR000005,"['2633', '27027', '27026', '23732', '27015', 'S27-10-1', '27034', '2402', '10050', '27035-1', '27051-1', 'B27-20', '42610', '27460', '27230', '88383', '27430', '28855', '27455', '2411', 'S27-05-1', 'S27-05-2', 'S27-05-3', '27423', '27410', '28480', '27419', '27422', '27220', 'S27-10-2']"
STNR000006,"['2633', '41603', '42406', '41312', '41502', '41617', '42430', '41659', '1035', '42610', '41511', '41801', '2402', '2601', '31300', 'B41-15', '41320', '42490', '41814', '88383', '41812', '41317', '41521', '41514', '41525', '41316', '41391', '2616', '46310', '41813']"
STNR000007,"['42280', '11122', '11117', '11066', '88383', '31240', '47420', '11124', '11122', '11020', '11900', '11117', '42490', '11122', '11115', '11124', '11080', '11376', '11115', 'E11-30']"
STNR000008,"['2101', '2121', '1017', '2402', '2161', '2105', '2128', '1005', '2450', '2132', '2157', '2148', '2170', '2141', '10020', '2122', '2157', '2110', '2159', '2158', '88383', '2239', '2267', '2247', '26027', '42610', 'B01-15', '2393', '42490', '2162', '2268', '2221', '2291', '42429']"
STNR000009,"['2101', '2121', '1017', '2402', '2161', '2105', '2128', '1005', '2450', '2132', '2157', '2148', '2170', '2141', '10020', '2122', '2157', '2110', '2159', '2158', '88383', '2239', '2267', '2110', '2247', '26027', '42610', 'B01-15', '2393', '42490', '2162', '2268', '2221', '2291', '42429']"
STNR000010,"['2101', '2121', '1017', '2161', '2105', '1005', '2633', '26027', '26028', '2132', '2157', '2148', '2141', '10020', '2122', '42611', '10020', '2180', '88383', '42101', '42101', '2159', 'B01-20', '42430', '2221', '2291', '2285', '2221']"
STNR000011,"['41000', '26027', '41713', '41501', '1005', '10022', '2403', '41603', '42421', '42406', '41312', '41502', '2633', '41659', '1035', '31373', '41704', '41801', '88383', '41511', '42610', 'B41-20', '41526', '42490', '41812', '41635', '41083', '41317', '41514']"
STNR000012,"['34311', '2450', '42610', 'B01-15', '2281', '2284', '2242', '2246', '2263', '2249', '02244-3', '1410', '2247', '1426', '2242', '42490', '02244-3', '1410', '2220', '2913', '2180', '1426', '2242', '88383', '1426', '2256']"
STNR000013,"['2633', '24023', '26050', 'KU011', '24006', '24004', '2601', '10050', 'KU003', '2601', 'KU030-1', '27002', '2402', '2405', '1035', '42610', 'KU015', '36611', '42490', 'KU115-1', 'B27-15', '23258', '2170', '2411', '27322', '2443', '22231', 'KU105', '27641', 'KU101', '22100', '22112', '22202', '22236', '22230', '88383']"
STNR000014,"['41012-1', '41010-2', '42011-1', '42021', '1005', '41020', '41015', '41612', '41618', '2633', '42042-3', '41035', '41030', '42429', '2402', '41051', '41045', '88383', '41061', '41031', 'B41-15']"
STNR000015,"['2633', '42421', '11305', 'DE11-20', '11961', '11050', '11982', '42259', '88383', '11034', '11351', '11320', '42429', '42282', '31241', '11351', '11080', 'E42-30']"
STNR000016,"['42582', '42580', '1017', '2633', '2170', '42101', '1005', '42415', '2403', '42421', '1034', '2450', '42005', '10052', '42583', '10054', '2105', '42584', '42586-1', '42085', '2502', '2805', '42577', '42114', '88383', 'B01-15', '42610']"
STNR000017,"['42349', '42350', '41078', '42090', '41072', 'KU141', '41073', '42085', '42071', '41084', 'S42-15-1', '42429', '88383']"
STNR000018,"['41224', '41111', '11351', '11563', '88383', '11320', '41214', '41126', '11352', '41106', '11465', '42270', '41117', '41129', '31241', '42490', '41113-2', 'E41-30']"
STNR000019,"['B11-15', '42270', '2402', '42429', '11020', '11221', '11034', '11080', '11129', '42490', '11982', '11127', '42530', '2101', '42259', '11122', '88383', 'S11-05-1', 'E42-32']"
STNR000020,"['11462', '41224', '11464', '41111', '11351', '11563', '11331', '41214', '11352', '41106', '11465', '11353', '11375', '88383', '42490', '11374', 'S11-05-1', 'E11-30']"
STNR000021,"['27405', '27303', '27430', '27641', '27432', '27419', '28855', '23532', '36617', '23258', '27220', '88383', '27324', 'E27-30']"
STNR000022,"['1415', '42104', '2429', '2457', '2614', '42105', '2582', '42490', '42106', '2634', 'S42-05-1', 'S01-05-1', '42184', '88383', '42114', 'E42-35']"
STNR000023,"['11141', '11341', '11990', '11993', '11341', '11342', '1005', '11994', '2631', '42421', '11997', '11318', '11010', '26027', '10022', '1005', '88383', '11561', '11821', '11832', '11823', '11836', '11825', '62054']"
STNR000024,"['28022', '28022', '42429', '28157', '28352', '28157', 'PRA28-30', '28342', '28352', '62107', '28342', '88383', '28352', '28342', 'DE23-20']"
STNR000025,"['62338', '1901', '41236', '11830', '11420', '1901', '11767', 'S11-05-1', '62250', 'PRA62-30', '62276', '42421', '62999', '62263', '11466', '11412', '62263', '88383', '62139', '62263', '11412', 'DE11-20', '11412']"
