StudentID,CoursesWithPrereqsFulfilled,CoursesWithoutPrereqs,TotalMultipleORReqs,GradeAverage
STNR000001,8,13,0,9.65
STNR000002,1,0,0,
STNR000003,23,8,1,6.0
STNR000004,20,6,1,9.26086956521739
STNR000005,13,17,0,11.12
STNR000006,9,21,0,8.785714285714286
STNR000007,8,12,0,6.5
STNR000008,11,23,0,7.466666666666667
STNR000009,11,24,0,7.225806451612903
STNR000010,14,14,0,8.833333333333334
STNR000011,18,11,1,8.814814814814815
STNR000012,8,18,0,6.478260869565218
STNR000013,18,18,1,7.32258064516129
STNR000014,12,9,1,11.368421052631579
STNR000015,8,10,0,8.058823529411764
STNR000016,18,9,0,6.6
STNR000017,8,5,0,11.0
STNR000018,7,11,1,6.125
STNR000019,11,8,0,8.38888888888889
STNR000020,6,12,0,9.647058823529411
STNR000021,4,10,0,10.25
STNR000022,8,8,0,8.23076923076923
STNR000023,20,4,0,5.0476190476190474
STNR000024,5,10,0,7.333333333333333
STNR000025,10,13,0,4.2105263157894735
STNR000026,15,9,1,7.95
STNR000027,4,26,0,4.769230769230769
STNR000028,17,11,1,6.478260869565218
STNR000029,19,14,0,6.448275862068965
STNR000030,12,10,0,9.941176470588236
STNR000031,14,8,0,6.333333333333333
STNR000032,22,7,2,8.074074074074074
STNR000033,7,20,0,9.384615384615385
STNR000034,13,14,2,9.833333333333334
STNR000035,11,15,1,10.0
STNR000036,19,10,5,11.136363636363637
STNR000037,9,18,0,5.2
STNR000038,8,9,1,9.25
STNR000039,9,29,0,10.6875
STNR000040,12,26,0,7.264705882352941
STNR000041,14,11,0,7.684210526315789
STNR000042,13,8,0,8.31578947368421
STNR000043,4,13,0,8.909090909090908
STNR000044,6,15,0,7.684210526315789
STNR000045,19,12,0,8.379310344827585
STNR000046,17,13,0,10.923076923076923
STNR000047,11,0,0,0.8
STNR000048,11,13,0,10.571428571428571
STNR000049,10,23,0,7.464285714285714
STNR000050,22,15,0,5.451612903225806
STNR000051,15,19,1,8.5
STNR000052,31,10,4,-0.04
STNR000053,14,21,1,7.5625
STNR000054,6,14,0,7.611111111111111
STNR000055,12,20,0,10.9
STNR000057,3,5,0,2.0
STNR000058,4,3,0,10.666666666666666
STNR000059,2,0,0,12.0
STNR000060,8,5,0,9.25
STNR000061,2,8,0,5.5
STNR000062,2,0,0,12.0
STNR000063,2,4,0,11.2
STNR000064,2,0,0,12.0
STNR000065,4,3,0,10.8
STNR000066,4,3,0,9.5
STNR000067,11,18,1,7.095238095238095
STNR000068,17,6,5,8.11111111111111
STNR000069,3,0,0,8.666666666666666
STNR000070,16,5,0,11.666666666666666
STNR000071,14,10,3,9.476190476190476
STNR000072,12,7,2,9.823529411764707
STNR000073,9,4,2,11.181818181818182
STNR000074,12,13,2,9.2
STNR000075,6,9,0,3.727272727272727
STNR000076,21,12,2,11.5
STNR000077,14,14,3,11.0
STNR000078,2,7,0,6.0
STNR000079,3,0,0,10.0
STNR000080,6,6,1,9.7
STNR000081,12,5,0,8.75
STNR000082,1,0,0,12.0
STNR000083,3,4,0,11.0
STNR000084,9,7,1,11.714285714285714
STNR000085,11,4,1,10.0
STNR000086,8,4,0,7.8
STNR000087,13,6,1,8.857142857142858
STNR000088,9,8,0,5.083333333333333
STNR000089,4,7,0,8.4
STNR000090,12,4,1,11.153846153846153
STNR000091,5,2,0,10.25
STNR000092,17,17,0,4.461538461538462
STNR000093,9,7,0,7.214285714285714
STNR000094,8,32,0,4.318181818181818
STNR000095,10,6,0,11.153846153846153
STNR000096,6,9,1,8.285714285714286
STNR000097,6,10,1,10.5625
STNR000098,3,4,0,9.833333333333334
STNR000099,5,2,0,9.666666666666666
STNR000100,6,10,0,10.76923076923077
STNR000101,4,5,0,9.5
STNR000102,5,8,1,9.384615384615385
STNR000103,2,13,0,8.857142857142858
STNR000104,7,13,0,6.428571428571429
STNR000105,6,5,0,10.4
STNR000106,12,3,0,8.454545454545455
STNR000107,4,6,1,10.444444444444445
STNR000108,8,6,0,8.25
STNR000109,6,9,0,9.733333333333333
STNR000110,11,14,0,7.291666666666667
STNR000111,7,6,1,8.692307692307692
STNR000112,14,10,1,7.9523809523809526
STNR000113,12,12,3,8.434782608695652
STNR000114,8,9,0,6.642857142857143
STNR000115,9,19,1,7.769230769230769
STNR000116,6,7,0,8.833333333333334
STNR000117,4,2,0,7.8
STNR000118,9,7,0,10.5
STNR000119,25,10,1,3.7
STNR000120,17,14,0,10.115384615384615
STNR000121,15,13,0,7.333333333333333
STNR000122,13,13,0,7.454545454545454
STNR000123,16,14,1,8.24
STNR000124,4,2,0,11.166666666666666
STNR000125,14,11,1,8.652173913043478
STNR000126,2,1,0,10.333333333333334
STNR000127,3,2,0,9.5
STNR000128,4,4,0,8.833333333333334
STNR000129,10,16,0,8.045454545454545
STNR000130,2,5,0,9.714285714285714
STNR000131,5,4,1,8.777777777777779
STNR000132,6,8,1,7.5
STNR000133,6,9,0,8.785714285714286
STNR000134,11,14,0,6.291666666666667
STNR000135,17,16,4,9.233333333333333
STNR000136,5,8,0,10.083333333333334
STNR000137,4,8,1,10.5
STNR000138,7,8,0,10.384615384615385
STNR000139,4,10,0,10.461538461538462
STNR000140,16,7,1,4.2631578947368425
STNR000141,8,10,0,10.6875
STNR000142,24,7,3,8.925925925925926
STNR000143,5,10,0,8.0
STNR000144,10,7,0,9.733333333333333
STNR000145,3,5,0,10.625
STNR000146,3,4,0,9.571428571428571
STNR000147,5,9,0,9.071428571428571
STNR000148,15,7,2,6.818181818181818
STNR000149,11,12,1,9.105263157894736
STNR000150,6,12,1,9.866666666666667
STNR000151,13,14,2,11.68
STNR000152,5,10,0,8.461538461538462
STNR000153,3,4,0,10.142857142857142
STNR000154,12,14,0,7.909090909090909
STNR000155,2,2,0,12.0
STNR000156,6,9,0,10.642857142857142
STNR000157,4,9,0,8.461538461538462
STNR000158,10,21,0,6.551724137931035
STNR000159,7,19,0,8.954545454545455
STNR000160,13,14,0,7.9
STNR000161,13,19,1,5.793103448275862
STNR000162,15,15,1,6.714285714285714
STNR000163,8,19,0,6.0
STNR000164,9,26,0,4.037037037037037
STNR000165,5,4,0,6.8
STNR000166,5,10,0,3.2
STNR000167,10,16,1,7.0476190476190474
STNR000168,3,16,0,4.066666666666666
STNR000169,20,13,3,10.206896551724139
STNR000170,11,4,0,7.866666666666666
STNR000171,14,8,2,7.95
STNR000172,4,2,0,5.75
STNR000173,3,0,0,4.5
STNR000174,1,2,0,9.666666666666666
STNR000175,3,2,0,3.75
STNR000176,1,2,0,9.666666666666666
STNR000177,5,13,0,9.166666666666666
STNR000178,1,5,0,3.5
STNR000179,1,0,0,7.0
STNR000180,10,9,2,6.647058823529412
STNR000181,15,16,4,5.482758620689655
STNR000182,4,4,0,5.571428571428571
STNR000183,15,15,3,6.357142857142857
STNR000184,13,9,0,10.0
STNR000185,5,10,0,8.076923076923077
STNR000186,4,1,0,10.0
STNR000187,5,5,0,10.11111111111111
STNR000188,4,6,0,6.222222222222222
STNR000189,9,13,0,9.285714285714286
STNR000190,19,11,1,9.423076923076923
STNR000191,5,11,1,8.636363636363637
STNR000192,13,16,1,6.809523809523809
STNR000193,14,17,2,7.142857142857143
STNR000194,14,15,1,5.625
STNR000195,20,18,1,6.580645161290323
STNR000196,12,9,1,4.944444444444445
STNR000197,7,24,1,5.88
STNR000198,14,10,0,9.5
STNR000199,4,13,0,3.090909090909091
STNR000200,9,15,1,5.136363636363637
STNR000201,7,11,1,7.8125
STNR000202,10,11,1,11.294117647058824
STNR000203,18,13,1,6.76
STNR000204,19,15,1,8.142857142857142
STNR000205,14,18,1,5.375
STNR000206,19,9,1,7.913043478260869
STNR000207,16,17,0,5.28125
STNR000208,19,9,1,8.916666666666666
STNR000209,20,8,1,9.52
STNR000210,1,0,0,10.0
STNR000211,6,0,0,10.5
STNR000212,4,3,0,10.2
STNR000213,5,2,0,11.6
STNR000214,5,3,0,9.25
STNR000215,8,4,0,9.0
STNR000216,3,3,0,7.8
STNR000217,3,2,0,10.75
STNR000218,3,0,0,10.0
STNR000219,4,0,0,11.5
STNR000220,1,0,0,12.0
STNR000221,2,3,0,10.25
STNR000222,1,1,0,10.0
STNR000223,2,0,0,11.0
STNR000224,5,1,0,11.0
STNR000225,6,5,0,9.444444444444445
STNR000226,8,3,0,7.6
STNR000227,1,5,0,7.833333333333333
STNR000228,11,3,1,10.214285714285714
STNR000229,6,11,0,9.083333333333334
STNR000230,1,0,0,12.0
STNR000231,9,13,0,6.857142857142857
STNR000232,2,4,0,10.2
STNR000233,9,3,0,10.666666666666666
STNR000234,8,5,0,10.5
STNR000235,6,7,0,10.25
STNR000236,13,5,1,11.625
STNR000237,23,11,6,4.551724137931035
STNR000238,9,8,0,5.9375
STNR000239,12,4,1,9.8125
STNR000240,10,6,1,10.166666666666666
STNR000241,6,5,0,12.0
STNR000242,11,2,0,3.857142857142857
STNR000243,10,4,0,8.333333333333334
STNR000244,12,9,1,8.052631578947368
STNR000245,5,12,0,8.294117647058824
STNR000246,1,0,0,
STNR000247,3,5,0,9.714285714285714
STNR000248,1,0,0,10.0
STNR000249,7,8,0,9.642857142857142
STNR000250,7,4,0,8.6
STNR000251,6,10,0,8.6
STNR000252,4,16,0,3.75
STNR000253,7,10,1,7.5625
STNR000254,7,11,0,7.705882352941177
STNR000255,2,0,0,7.0
STNR000256,1,0,0,4.0
STNR000257,6,8,0,8.071428571428571
STNR000258,7,4,0,8.5
STNR000259,4,6,0,8.555555555555555
STNR000260,10,6,1,9.625
STNR000261,6,12,0,8.944444444444445
STNR000262,6,12,1,6.444444444444445
STNR000263,1,0,0,12.0
STNR000264,1,0,0,12.0
STNR000265,1,0,0,10.0
STNR000266,1,0,0,12.0
STNR000267,3,15,0,8.61111111111111
STNR000268,3,15,0,5.882352941176471
STNR000269,3,14,0,8.1875
STNR000270,3,10,0,9.692307692307692
STNR000271,1,0,0,10.0
STNR000272,4,2,0,8.6
STNR000273,1,0,0,10.0
STNR000274,1,0,0,10.0
STNR000275,1,1,0,6.0
STNR000276,1,0,0,10.0
STNR000277,1,2,0,9.666666666666666
STNR000278,1,0,0,12.0
STNR000279,4,13,0,7.705882352941177
STNR000280,1,0,0,12.0
STNR000281,5,12,0,3.2
STNR000282,1,0,0,12.0
STNR000283,1,0,0,2.0
STNR000284,1,0,0,10.0
STNR000285,1,0,0,12.0
STNR000286,17,22,4,8.945945945945946
STNR000287,2,3,0,10.8
STNR000288,2,4,0,11.333333333333334
STNR000289,4,4,0,9.125
STNR000290,3,4,0,9.857142857142858
STNR000291,1,0,0,12.0
STNR000292,2,5,0,10.333333333333334
STNR000293,4,5,0,9.444444444444445
STNR000294,2,1,0,8.0
STNR000295,1,2,0,9.666666666666666
STNR000296,1,3,0,9.75
STNR000297,1,6,0,6.666666666666667
STNR000298,2,6,0,11.125
STNR000299,9,14,0,9.954545454545455
STNR000300,3,5,0,10.625
STNR000301,7,4,0,10.0
STNR000302,20,16,0,8.030303030303031
STNR000303,3,7,1,9.4
STNR000304,2,16,0,10.555555555555555
STNR000305,2,17,0,6.588235294117647
STNR000306,2,1,0,10.666666666666666
STNR000307,3,8,0,9.0
STNR000308,7,10,0,10.375
STNR000309,5,10,0,9.785714285714286
STNR000310,3,11,0,8.692307692307692
STNR000311,8,9,0,7.647058823529412
STNR000312,3,9,0,9.083333333333334
STNR000313,5,8,1,10.166666666666666
STNR000314,3,9,0,11.166666666666666
STNR000315,8,9,0,7.846153846153846
STNR000316,5,7,0,8.333333333333334
STNR000317,5,8,0,10.692307692307692
STNR000318,2,0,0,9.5
STNR000319,5,12,0,7.882352941176471
STNR000320,9,7,0,8.375
STNR000321,9,19,1,6.964285714285714
STNR000322,4,11,0,4.933333333333334
STNR000323,8,9,2,8.941176470588236
STNR000324,2,15,0,7.733333333333333
STNR000325,4,14,1,8.294117647058824
STNR000326,15,20,3,7.088235294117647
STNR000327,24,21,1,4.769230769230769
STNR000328,1,0,0,10.0
STNR000329,10,17,0,4.916666666666667
STNR000330,14,10,0,8.409090909090908
STNR000331,24,12,0,7.03125
STNR000332,7,9,1,8.9375
STNR000333,4,10,0,8.928571428571429
STNR000334,3,14,0,9.294117647058824
STNR000335,4,14,0,9.277777777777779
STNR000336,4,11,0,7.071428571428571
STNR000337,19,16,1,8.78125
STNR000338,1,0,0,12.0
STNR000339,9,6,1,8.0
