Program,Grade
"Svagstrøm, Ingeniør prof, bach.",10.0
"Technology Entrepreneurship, cand.tech.",10.0
"Design og innovation, cand.polyt.",9.599620493358634
"Advanced Materials and Healthcare Engineering, cand.polyt.",9.314285714285715
"Fysik og nanoteknologi, cand.polyt.",9.223130841121495
"Kommunikationsteknologier og systemdesign, cand.polyt.",8.99740932642487
"Bioteknologi, cand.polyt.",8.959344660194175
"Fotonik, cand.polyt.",8.946564885496183
"Industriel økonomi og teknologiledelse, cand.polyt.",8.942513003011223
"Geofysik og rumteknologi, cand.polyt.",8.916859122401847
"Design og innovation, ing.bach.",8.905018888289261
"Farmateknologi, cand.polyt.",8.84468438538206
"Bæredygtigt energidesign, ingeniør bach.",8.833684210526316
"Business analytics, cand.polyt.",8.816425120772946
"Bioinformatik og systembiologi, cand.polyt.",8.799691833590138
"Matematik og teknologi, ingeniør bach.",8.75445223961144
"Autonome systemer, cand.polyt.",8.75092936802974
"Bygningsdesign, cand.polyt.",8.718161683277962
"Miljøteknologi, cand.polyt.",8.691969887076537
"Matematisk modellering og computing, cand.polyt.",8.676323119777159
"Materiale- og procesteknologi, cand.polyt.",8.571639586410635
"Kemisk og biokemisk teknologi, cand.polyt.",8.555374592833877
"Konstruktion og mekanik, cand.polyt.",8.54051282051282
"Lyd og akustisk teknologi, cand.polyt.",8.52129817444219
"Vindenergi, cand.polyt.",8.477203647416413
"Kvantitativ biologi og sygdomsmodellering, cand.polyt.",8.469135802469136
"Transport og logistik, cand.polyt.",8.434724091520861
"Bæredygtig energi, cand.polyt.",8.412138728323699
"Bioteknologi, ing.bach.",8.370981754995656
"Akvatisk videnskab og teknologi, cand.polyt.",8.358823529411765
"Byggeteknologi, cand.polyt.",8.31056956644942
"Menneskeorienteret kunstig intelligens, cand.polyt.",8.22
"Proces og innovation, ing.prof.bach.",8.096437880104258
"Elektroteknologi, cand.polyt.",8.063291139240507
"Anvendt kemi, cand.polyt.",7.915220293724967
"Informationsteknologi, cand.polyt.",7.883054892601432
"It og økonomi, ing.prof.bach.",7.8654353562005275
"Miljøvidenskab, ing.bach.",7.725885225885226
"Produktion og konstruktion, ingeniør bach.",7.661270236612703
"Elektrisk energiteknologi, ing.prof.bach.",7.636977058029689
"Elektroteknologi, ingeniør bach.",7.562338334195551
"Data science og datamangament, ing.bach.",7.555555555555555
"Fødevareteknologi, cand.polyt.",7.548022598870056
"Kemi og teknologi, ing.bach.",7.542735042735043
"Fysik og nanoteknologi, ing.bach.",7.415259959486833
"Medicin og teknologi, ing.bach.",7.410142348754448
"Bygningsdesign, ing.bach.",7.29002079002079
"Medicin og teknologi, cand.polyt.",7.260121457489879
"Teknisk biomedicin, ing.bach.",7.170623145400594
"Kvantitativ biologi og sygdomsmodellering, ingeniør bach.",7.160949868073879
"Produktion (Produktionsteknik), ing.prof.bach.",7.063839489284086
"Bygge og anlæg, ingeniør bach.",6.990586932447398
"Sundhedsteknologi, ing.prof.bach.",6.983182406209573
"Geofysik og rumteknologi, ing.bach.",6.940740740740741
"Softwareteknologi, ing.prof.bach.",6.752249867654844
"Arktisk byggeri og infrastruktur, ing.prof.bach.",6.74079754601227
"Fiskeriteknologi, ing.prof.bach.",6.733333333333333
"Bygningsdesign, ing.prof.bach.",6.707427536231884
"Mobilitet, Transport og Logistik, ing.prof.bach.",6.617936117936118
"Eksport og teknologi, ing.prof.bach.",6.609682299546142
"Cyberteknologi, ingeniør bach.",6.509565217391304
"Softwareteknologi, ingeniør bach.",6.453947368421052
"Teknisk videnskab, ing.bach.",6.441988950276243
"It-elektronik, ing.prof.bach.",6.337606837606837
"Elektroteknologi, ing.prof.bach.",6.245717082721488
"Kemiteknik og International Business, ing.prof.bach.",6.181679389312977
"Byggeri og infrastruktur, ing.prof.bach.",6.109459459459459
"Olie- og gasteknologi, cand.polyt.",6.019370460048426
"Maskinteknik, ing.prof.bach.",5.815
"Fødevaresikkerhed og -kvalitet, ing.prof.bach.",5.762437810945274
"Kunstig intelligens og data, ingeniør bach.",5.392156862745098
"Kemi- og bioteknologi, ing.prof.bach.",5.302303860523039
"Life Science og Teknologi, ing.bach.",1.0
End,
Start,
