Program,Grade
"Bioinformatik og systembiologi, cand.polyt.",10.404255319148936
"Geofysik og rumteknologi, cand.polyt.",10.035714285714286
"Fysik og nanoteknologi, cand.polyt.",9.983739837398375
"Bioteknologi, cand.polyt.",9.830601092896174
"Farmateknologi, cand.polyt.",9.813725490196079
"Byggeteknologi, cand.polyt.",9.751677852348994
"Industriel økonomi og teknologiledelse, cand.polyt.",9.635687732342008
"Technology Entrepreneurship, cand.tech.",9.634146341463415
"Design og innovation, cand.polyt.",9.375
"Bygningsdesign, cand.polyt.",9.321678321678322
"Kommunikationsteknologier og systemdesign, cand.polyt.",9.294736842105262
"Miljøteknologi, cand.polyt.",9.24083769633508
"Materiale- og procesteknologi, cand.polyt.",9.229885057471265
"Kemisk og biokemisk teknologi, cand.polyt.",9.197368421052632
"Design og innovation, ing.bach.",9.041666666666666
"Fotonik, cand.polyt.",9.015625
"Elektroteknologi, cand.polyt.",8.950904392764858
"Medicin og teknologi, cand.polyt.",8.943037974683545
"Vindenergi, cand.polyt.",8.897727272727273
"Akvatisk videnskab og teknologi, cand.polyt.",8.844155844155845
"Anvendt kemi, cand.polyt.",8.814814814814815
"Lyd og akustisk teknologi, cand.polyt.",8.733333333333333
"Konstruktion og mekanik, cand.polyt.",8.724137931034482
"Proces og innovation, ing.prof.bach.",8.630952380952381
"Transport og logistik, cand.polyt.",8.63013698630137
"Matematisk modellering og computing, cand.polyt.",8.608040201005025
"Bæredygtig energi, cand.polyt.",8.604651162790697
"Menneskeorienteret kunstig intelligens, cand.polyt.",8.58255033557047
"Kunstig intelligens og data, ingeniør bach.",8.42671009771987
"Olie- og gasteknologi, cand.polyt.",8.380952380952381
"Fødevareteknologi, cand.polyt.",8.357894736842105
"Autonome systemer, cand.polyt.",8.34640522875817
"Kvantitativ biologi og sygdomsmodellering, ingeniør bach.",8.154761904761905
"Softwareteknologi, ingeniør bach.",8.07517309594461
"Informationsteknologi, cand.polyt.",8.053897180762853
"Bæredygtigt energidesign, ingeniør bach.",8.047058823529412
"Matematik og teknologi, ingeniør bach.",7.9169230769230765
"Miljøvidenskab, ing.bach.",7.660377358490566
"Life Science og Teknologi, ing.bach.",7.4
"Business analytics, cand.polyt.",7.296296296296297
"Byggeri og infrastruktur, ing.prof.bach.",7.294372294372295
"Teknisk biomedicin, ing.bach.",7.238095238095238
"Elektrisk energiteknologi, ing.prof.bach.",7.2
"Medicin og teknologi, ing.bach.",7.2
"Svagstrøm, Ingeniør prof, bach.",7.0
"It-elektronik, ing.prof.bach.",6.989130434782608
"Produktion (Produktionsteknik), ing.prof.bach.",6.988165680473373
"Produktion og konstruktion, ingeniør bach.",6.891891891891892
"Teknisk videnskab, ing.bach.",6.790849673202614
"Fysik og nanoteknologi, ing.bach.",6.7657657657657655
"Geofysik og rumteknologi, ing.bach.",6.477124183006536
"Bioteknologi, ing.bach.",6.456730769230769
"Eksport og teknologi, ing.prof.bach.",6.39375
"Kemi- og bioteknologi, ing.prof.bach.",6.344827586206897
"Softwareteknologi, ing.prof.bach.",6.33389544688027
"Mobilitet, Transport og Logistik, ing.prof.bach.",6.301020408163265
"Elektroteknologi, ing.prof.bach.",5.904040404040404
"Bygningsdesign, ing.prof.bach.",5.859813084112149
"It og økonomi, ing.prof.bach.",5.853403141361256
"Arktisk byggeri og infrastruktur, ing.prof.bach.",5.76595744680851
"Data science og datamangament, ing.bach.",5.413461538461538
"Maskinteknik, ing.prof.bach.",4.877049180327869
"Fødevaresikkerhed og -kvalitet, ing.prof.bach.",4.814814814814815
"Kemiteknik og International Business, ing.prof.bach.",4.705882352941177
"Bygningsdesign, ing.bach.",4.428571428571429
"Sundhedsteknologi, ing.prof.bach.",4.40625
"Bygge og anlæg, ingeniør bach.",3.772727272727273
"Cyberteknologi, ingeniør bach.",3.730337078651685
"Elektroteknologi, ingeniør bach.",3.25
"Kemi og teknologi, ing.bach.",3.142857142857143
"Bæredygtig energiteknik, ing.prof.bach.",
End,
Start,
