Program,Grade
"Technology Entrepreneurship, cand.tech.",9.642857142857142
"Design og innovation, cand.polyt.",9.583774250440918
"Fysik og nanoteknologi, cand.polyt.",9.318692543411645
"Advanced Materials and Healthcare Engineering, cand.polyt.",9.314285714285715
"Kommunikationsteknologier og systemdesign, cand.polyt.",9.056133056133056
"Bioteknologi, cand.polyt.",9.046422719825232
"Industriel økonomi og teknologiledelse, cand.polyt.",8.99005609382968
"Geofysik og rumteknologi, cand.polyt.",8.984815618221258
"Fotonik, cand.polyt.",8.960122699386503
"Farmateknologi, cand.polyt.",8.920367534456355
"Design og innovation, ing.bach.",8.914872308462694
"Bioinformatik og systembiologi, cand.polyt.",8.908045977011493
"Business analytics, cand.polyt.",8.76842105263158
"Bygningsdesign, cand.polyt.",8.76244227809133
"Miljøteknologi, cand.polyt.",8.750700280112046
"Matematisk modellering og computing, cand.polyt.",8.659280936454849
"Matematik og teknologi, ingeniør bach.",8.629476584022038
"Bæredygtigt energidesign, ingeniør bach.",8.626356589147287
"Materiale- og procesteknologi, cand.polyt.",8.611380985426788
"Autonome systemer, cand.polyt.",8.604265402843602
"Kemisk og biokemisk teknologi, cand.polyt.",8.580813347236704
"Konstruktion og mekanik, cand.polyt.",8.55782628889921
"Lyd og akustisk teknologi, cand.polyt.",8.544303797468354
"Vindenergi, cand.polyt.",8.511627906976743
"Akvatisk videnskab og teknologi, cand.polyt.",8.510121457489879
"Menneskeorienteret kunstig intelligens, cand.polyt.",8.49145728643216
"Kvantitativ biologi og sygdomsmodellering, cand.polyt.",8.469135802469136
"Transport og logistik, cand.polyt.",8.452205882352942
"Bæredygtig energi, cand.polyt.",8.419058233491223
"Byggeteknologi, cand.polyt.",8.3689505165851
"Kunstig intelligens og data, ingeniør bach.",8.193984962406015
"Elektroteknologi, cand.polyt.",8.18441466854725
"Proces og innovation, ing.prof.bach.",8.132793522267207
"Bioteknologi, ing.bach.",8.077998528329655
"Informationsteknologi, cand.polyt.",8.028611797951253
"Svagstrøm, Ingeniør prof, bach.",8.0
"Softwareteknologi, ingeniør bach.",7.961821527138914
"Anvendt kemi, cand.polyt.",7.946520618556701
"Miljøvidenskab, ing.bach.",7.718378378378379
"Fødevareteknologi, cand.polyt.",7.670926517571885
"Medicin og teknologi, cand.polyt.",7.667944785276074
"Produktion og konstruktion, ingeniør bach.",7.627380952380952
"Elektrisk energiteknologi, ing.prof.bach.",7.611959287531807
"Kemi og teknologi, ing.bach.",7.520907158043941
"Elektroteknologi, ingeniør bach.",7.474911302584896
"Data science og datamangament, ing.bach.",7.388930441286462
"Medicin og teknologi, ing.bach.",7.386130811662727
"Fysik og nanoteknologi, ing.bach.",7.369974874371859
"Kvantitativ biologi og sygdomsmodellering, ingeniør bach.",7.341252699784017
"Bygningsdesign, ing.bach.",7.269349845201238
"Teknisk biomedicin, ing.bach.",7.177257525083612
"Produktion (Produktionsteknik), ing.prof.bach.",7.058425063505504
"Bygge og anlæg, ingeniør bach.",6.914054054054054
"Geofysik og rumteknologi, ing.bach.",6.89354624085163
"Sundhedsteknologi, ing.prof.bach.",6.880745341614907
"Fiskeriteknologi, ing.prof.bach.",6.733333333333333
"Arktisk byggeri og infrastruktur, ing.prof.bach.",6.675250357653791
"Bygningsdesign, ing.prof.bach.",6.668250539956803
"It og økonomi, ing.prof.bach.",6.654411764705882
"Softwareteknologi, ing.prof.bach.",6.652296535052377
"Eksport og teknologi, ing.prof.bach.",6.593560429304713
"Mobilitet, Transport og Logistik, ing.prof.bach.",6.556435643564356
"Teknisk videnskab, ing.bach.",6.512560599382988
"It-elektronik, ing.prof.bach.",6.413098236775818
"Olie- og gasteknologi, cand.polyt.",6.237362637362637
"Elektroteknologi, ing.prof.bach.",6.215528781793842
"Byggeri og infrastruktur, ing.prof.bach.",6.168058231642046
"Kemiteknik og International Business, ing.prof.bach.",6.144345238095238
"Cyberteknologi, ingeniør bach.",6.1370481927710845
"Life Science og Teknologi, ing.bach.",6.052631578947368
"Maskinteknik, ing.prof.bach.",5.758407517309594
"Fødevaresikkerhed og -kvalitet, ing.prof.bach.",5.731648616125151
"Kemi- og bioteknologi, ing.prof.bach.",5.31163221228016
"Bæredygtig energiteknik, ing.prof.bach.",
End,
Start,
