Course,Prerequisites
02402,"01001/01003/01002/01004/01005/01901, At the latest at the same
   time."
28213,26400.26222
41632,"41612, Product Design and
Documentation"
41656,41661/41650/41659/41680.­41684
41661,"41650/41657/41659/41681/41683/41680/41686.­41684, basic Materials
   Science"
41667,"41650/41657/41659/41681/41683/41658/41680/41686.­41684, knowledge on materials science
   and materials characterization and testing"
41737,"Knowledge of strength of materials, and plastics materials
41501.41650"
41738,"Knowlegde of polymer materials and polymer processing e.g.
41736/​41737/​41785/​42231/​42233/​42932, 41650, 41659"
41744,"41703/41781.41650/41659, or equivalent Production
   technology and Materials technology."
41747,"Knowledge of basic process technology 42201/42911/41704/41784.
Knowledge of materials technology corresponding to 41659. Knowledge
of mathematics corresponding to 01035 (possibly in parallel) N.B.:
For students who do not have experience in Matlab programming, a
crash-course of one afternoon in basic Matlab will be given prior
to the course."
41748,"Knowledge of basic process technology 42201/42911/41704/41784.
Knowledge of materials technology corresponding to
41681/41650/41659. Knowledge of modelling in materials and
manufacturing engineering corresponding to 41747. Knowledge of
mathematics corresponding to 01035 (possibly in parallel).
Knowledge of strength of materials corresponding to 41502 N.B.: For
students who do not have experience in programming in Matlab, a
crash-course of one afternoon in basic Matlab will be given prior
to the course."
42062,"42042, The course benefits from being taken
in parallel with the bachelor project"
42085,Bachelor in Design and Innovation or equivalent
42372,"122404141642340, Similar qualifications to the
aforementioned courses."
88383,This course is only in Danish
41030,"31001/31373/42020/41020/42612/41612, Electric circuits 1 Automation,
   components and systems Product analysis and re-design Product
   Construction and Documentation"
10050,01005
22111,"27002/27008, Basic understanding of biological
   processes used in the industry. Knowledge of cell structure,
   their biological functions, biochemical and molecular biological
   processes together with biotechnological
   processes"
22141,"(27002/27008).­27022.­27026.­(36611/22111) , Knowledge of cell structure, its
   biological function, subcomponents, biochemical and molecular
   processes (metabolism, RNA- and protein synthesis), structure of
   DNA, protein-coding genes, the standard genetic code, the
   primary (sequence), secondary (helices/coils), tertiary (3D) and
   quaternary (complex) structure of proteins. Basic knowledge and
   ability to apply bioinformatics methods and the knowledge to
   collect and process relevant biological data from large-scale
   databases such as UniProt and GenBank."
23531,"The course is open for students (incl. MSc and BSc students)
who have passed 100 ECTS points of their bachelor programme in Food
science, Food technology, Biotechnology, Bio Engineering, Business
or a related area. International students from non-English speaking
countries must have sufficient English qualifications to
participate actively at a high level in group discussions and
report writing (Danish students are fluent in written and spoken
English and international students are expected to be at the same
level. If in doubt contact the course responsible in
advance)."
26050,None
26400,"26000/26001, General Chemistry or
   equivalent."
27015,27002/27008
27022,"23932/27002/27008/27020, or
   equivalent."
27023,"27022, Or equivalent."
27026,"23932/27002/27008/27020.­12701, or
   equivalent."
27028,27002/27008
27034,"27022.27026.27027/27028, Knowledge of cell structures,
   their biological functions, as well as biochemical and molecular
   biological processes."
27230,"27022/27026, Basic theoretical knowledge of
   biochemical pathways and enzyme kinetics, so the student can
   solve general and biotechnological
   problems."
27302,"27022, Biochemistry, or a similar course in
fundamental biochemistry."
27322,"27022.24001/22208, Theoretical knowledge of the most
   important areas in biochemistry. Able to solve general and
   biotechnological problems. Knowledge of the human physiology in
   order to provide insight into the interaction between
   biochemical processes in the organism."
27410,"27460.­27611/36611/22111/22110/27827, Fundamental knowledge on basic
   principles of fermentation technology and biotechnological
   products produced by microorganisms. Knowledge of the basic
   quantitative elements, the underlying science, and the general
   concepts of biotechnological processes. Knowledge of cellular
   metabolism. Basic programming skills in Python, R or similar
   (loops, conditionals, basic data types like lists, dictionaries
   etc.) are highly recommended."
27430,"27022.27026, Knowledge of the methods and
   paradigms in molecular microbiology to follow a discussion
   amongst professionals and read relevant literature. Basic
   knowledge of experimental molecular
   microbiology."
27455,27022.27026.27034
42610,"The course is recommeded at 3-6
semester."
27035,"Knowledge and understanding of fundamental fermentation
technology and biotechnological products produced by
microorganisms. Knowledge of the basic quantitative elements, the
scientific background and the general principles of
biotechnological processes."
27051,"27022.27026.27027/27028, Or
   similar"
01035,"01002/01004/01005/01006/01015/01920, Knowledge of complex numbers,
   matrix calculations, eigenvalues and eigenvectors for matrices,
   systems of linear first order differential equations and linear
   differential equations of first and second
   order."
11462,"11411, It is recommended to follow 11411
the same semester."
12102,"12000, A basic course in chemistry (1st
year chemistry course) and basic knowledge on
Excel"
12143,"Basic knowledge of chemistry and biochemistry is recommended to
follow the course. You should have some experience with spreadsheet
calculations."
12210,No particular
12320,"41102/10020/02002, Physics, environmental hydraulics
   and basic programming and data processing in Python / Jupyter
   notebooks"
26010,26000/26001/28001/28010
42611,"The course is recommended to be taken at 3rd to 6th
term"
02411,"02402, or a similar course in elementary
statistics"
23732,"27022Biokemi , or equivalent knowledge,
skills, and competencies."
27027,"27002/27008, Course 27026 should be followed
   together with 27027."
27220,"27026.27051, Knowledge of basic experimental
   approaches in molecular microbiology to the level needed to
   interpret experimental data. Knowledge of microbial biodiversity
   and bacterial genetics & physiology to the level needed to
   be able to participate in reading and discussion of scientific
   literature."
27419,"27026.27051, or equivalent basic prokaryotic
   and eukaryotic microbiology. Knowledge of the methods and
   paradigms in molecular microbiology to follow a discussion
   amongst professionals and read relevant literature. Master the
   basic experimental skills in molecular microbiology. Insight in
   the functional and species diversity of microorganisms
   (bacteria, Archaea, and fungi) to understand their positive and
   negative roles in the environment – including the human body,
   and their potential application in biotechnology."
27422,26400
27423,26400/27022
27460,"27022.27026.27051, Ideally you have hands-on
   experience from experimental molecular biological work (BSc
   project or larger special course) so you can participate in the
   discussions and relate to the theoretical exercises."
28855,"B.Sc.+ Course in process technology/engineering (for instance
28020/28022) Courses in biochemistry (27022, or 27032)"
02601,"(02002/02631/02632/02633/02525).­(01002/01004/01005/01006/01015/01016) , Taylor's formula, roots of
   polynomials, ordinary differential equations and linear algebra.
   These subjects are covered by 01005/01006 Mathematics 1 whos
   second semester has to be taken at least at the same semester.
   Elementary programming in Python."
02616,"02613/02614, Experience with numerical
   computations. A student should be proficient in Python
   (especially class constructs). Knowledge of the Linux/Unix
   command line, and programming of shell-scripts is an
   advantage."
31300,"01005.01035, 01035 can be taken together with
this course."
41312,"01001.01002.02002, Rutine in application of vectors,
   differential equations and integrals. Experience in use of
   Python (or similar tool) for data
   processing."
41316,"41315.41320, Also recommended
   41321."
41317,"41312/41102/10346.­41320.­02601.­02631, A basic course in fluid dynamics
   along with some programming experience in MATLAB is expected. An
   advanced course in fluid mechanics and courses on numerical
   algorithms and methods for solving differential equations are
   all very helpful."
41320,"41312/41102.02631/02633/28864, Knowledge of basic fluid
   mechanics and basic knowledge of Matlab, Python or similar.
   Knowledge of mathematics, specifically for solving partial
   differential equations (e.g. the chain rule, partial
   differentiation and integration, basic vector calculus including
   familiarity with Stokes' and Gauss'
   theorems)."
41391,knowledge in unix/linux
41502,"41501, Basic strength of materials
including statics, stresses and deformations in beams and
bars."
41511,"10022/62675.­41501/41533.­41502/41534.­41659/41681, Mechanics: 10022/62163. Strength
   of materials: 41501/41533 and 41502/41534. Materials Science:
   41659/41681"
41514,10022/41532.41560/41035/41535/41564
41521,41560/41214/41514/62643/41237
41525,"Basic understanding of stresses and strains in two and three
dimensions and programming experience f.ex. 41502 and 02002. Other
courses in solid mechanics, e.g. 41564 and
41516."
41603,41000
41617,"41630/41601/11000/41000, Working knowledge of 3D CAD
   systems e.g. Creo parametric."
41801,"At least 4 of the technological courses should have been
passed"
41812,"02631/62646.41502/41534, Comprehensive knowledge is
   expected within general stress and strain states (41502/41534 or
   similar) as well as good computer programming background
   (02631/62646 or similar experience)."
41813,"(41560/41237/31270/62643).­(41525/41812) , Fundamental knowledge of
   mechanical vibrations is required. Knowledge of finite element
   theory and programming experience in matlab is an
   advantage."
41814,(01030/01035).
42406,"42415, could be
simultaneously"
46310,"46300, Basic programming skills as e.g
Matlab, Fortran, Python or C"
11020,"The student should possess engineering knowledge about
buildings and building elements, and be capable of performing
computations requiring university level
mathematics."
11066,"Education similar to Bachelor in Architectural Engineering or
Civil Engineering at DTU"
