course_code,reason
42429,Prerequisites not found for course 42429 even in older versions
42452,Prerequisites not found for course 42452 even in older versions
01005,Prerequisites not found for course 01005 even in older versions
02633,Prerequisites not found for course 02633 even in older versions
27002,Prerequisites not found for course 27002 even in older versions
27007,Prerequisites not found for course 27007 even in older versions
28480,Prerequisites not found for course 28480 even in older versions
10022,Prerequisites not found for course 10022 even in older versions
12003,Prerequisites not found for course 12003 even in older versions
12139,Prerequisites not found for course 12139 even in older versions
12202,Prerequisites not found for course 12202 even in older versions
12205,Prerequisites not found for course 12205 even in older versions
25105,Prerequisites not found for course 25105 even in older versions
41102,Prerequisites not found for course 41102 even in older versions
42270,Prerequisites not found for course 42270 even in older versions
42415,Prerequisites not found for course 42415 even in older versions
41659,Prerequisites not found for course 41659 even in older versions
42430,Prerequisites not found for course 42430 even in older versions
42490,Prerequisites not found for course 42490 even in older versions
01017,Prerequisites not found for course 01017 even in older versions
02101,Prerequisites not found for course 02101 even in older versions
10020,Prerequisites not found for course 10020 even in older versions
31373,Prerequisites not found for course 31373 even in older versions
41000,Prerequisites not found for course 41000 even in older versions
41713,Prerequisites not found for course 41713 even in older versions
34311,Prerequisites not found for course 34311 even in older versions
24004,Prerequisites not found for course 24004 even in older versions
41015,Prerequisites not found for course 41015 even in older versions
41010,Prerequisites not found for course 41010 even in older versions
41012,Prerequisites not found for course 41012 even in older versions
42011,Prerequisites not found for course 42011 even in older versions
31241,Prerequisites not found for course 31241 even in older versions
10052,Prerequisites not found for course 10052 even in older versions
10054,Prerequisites not found for course 10054 even in older versions
42580,Prerequisites not found for course 42580 even in older versions
42582,Prerequisites not found for course 42582 even in older versions
42349,Prerequisites not found for course 42349 even in older versions
02631,Prerequisites not found for course 02631 even in older versions
11141,Prerequisites not found for course 11141 even in older versions
11341,Prerequisites not found for course 11341 even in older versions
11823,Prerequisites not found for course 11823 even in older versions
62054,Prerequisites not found for course 62054 even in older versions
62107,Prerequisites not found for course 62107 even in older versions
01901,Prerequisites not found for course 01901 even in older versions
62250,Prerequisites not found for course 62250 even in older versions
62338,Prerequisites not found for course 62338 even in older versions
