STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR000012,"Informationsteknologi, cand.polyt.",1410,01410 Kryptologi 1,EM,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-05-23
STNR000012,"Informationsteknologi, cand.polyt.",1410,01410 Kryptologi 1,7,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-05-28
STNR000012,"Informationsteknologi, cand.polyt.",1426,01426 Kryptologi 2,EM,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-12-14
STNR000012,"Informationsteknologi, cand.polyt.",1426,01426 Kryptologi 2,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2021-06-02
STNR000012,"Informationsteknologi, cand.polyt.",1426,01426 Kryptologi 2,-3,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-12-13
STNR000012,"Informationsteknologi, cand.polyt.",2180,02180 Introduktion til kunstig intelligens,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-07-01
STNR000012,"Informationsteknologi, cand.polyt.",2220,02220 Distribuerede systemer,4,7-trinsskala,7.5,Skriftlig,intern censur,2020-06-11
STNR000012,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,EM,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-12-12
STNR000012,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,EM,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-12-16
STNR000012,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,4,7-trinsskala,7.5,Skriftlig,ekstern censur,2020-12-14
STNR000012,"Informationsteknologi, cand.polyt.",2246,02246 Modeltjek,10,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-12-18
STNR000012,"Informationsteknologi, cand.polyt.",2247,02247 Oversætterkonstruktion,4,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2019-05-24
STNR000012,"Informationsteknologi, cand.polyt.",2249,02249 Beregningsmæssigt hårde problemer,7,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-01-14
STNR000012,"Informationsteknologi, cand.polyt.",2256,02256 Automatiseret ræsonnering,10,7-trinsskala,5.0,Skriftlig,intern censur,2021-07-12
STNR000012,"Informationsteknologi, cand.polyt.",2263,02263 Formelle aspekter af software engineering,12,7-trinsskala,5.0,Skriftlig,intern censur,2019-01-02
STNR000012,"Informationsteknologi, cand.polyt.",2281,02281 Data-logik,EM,7-trinsskala,5.0,Mundtlig,ekstern censur,2018-08-22
STNR000012,"Informationsteknologi, cand.polyt.",2913,02913 Avancerede analyseteknikker,BE,7-trinsskala,5.0,Afløsningsopgave,intern censur,2020-06-30
STNR000012,"Informationsteknologi, cand.polyt.",42490,"42490 Teknologi, ledelse, organisation og forretningsmodeller",10,7-trinsskala,10.0,Skriftlig,ekstern censur,2020-01-11
STNR000012,"Informationsteknologi, cand.polyt.",88383,88383 Akademisk informationssøgning - styrk dine informationskompetencer,BE,bestået/ikke bestået,2.5,Skriftlig,ekstern censur,2021-02-08
STNR000012,"Informationsteknologi, cand.polyt.",02244-3,02244 Sprog-baseret sikkerhed,EM,7-trinsskala,7.5,Skriftlig,intern censur,2019-05-20
STNR000012,"Informationsteknologi, cand.polyt.",02244-3,02244 Sprog-baseret sikkerhed,12,7-trinsskala,7.5,Skriftlig,intern censur,2020-05-19
STNR000674,"Informationsteknologi, cand.polyt.",42114,42114 Heltalsprogrammering,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2019-02-08
STNR001785,"Informationsteknologi, cand.polyt.",2110,02110 Algoritmer og datastrukturer 2,12,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-12-19
STNR001785,"Informationsteknologi, cand.polyt.",2204,02204 Design af asynkrone kredsløb,12,7-trinsskala,5.0,Skriftlig,intern censur,2020-06-08
STNR001785,"Informationsteknologi, cand.polyt.",2205,02205 VLSI Design,10,7-trinsskala,5.0,Skriftlig,intern censur,2019-05-22
STNR001785,"Informationsteknologi, cand.polyt.",2209,02209 Test af digitale systemer,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-12-11
STNR001785,"Informationsteknologi, cand.polyt.",2211,02211 Videregående computerarkitektur,10,7-trinsskala,5.0,Skriftlig,intern censur,2018-05-24
