STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR000008,"Softwareteknologi, ingeniør bach.",1005,01005 Matematik 1,7,7-trinsskala,20.0,Skriftlig,ekstern censur,2018-06-22
STNR000008,"Softwareteknologi, ingeniør bach.",1017,01017 Diskret matematik,2,7-trinsskala,5.0,Skriftlig,intern censur,2018-01-22
STNR000008,"Softwareteknologi, ingeniør bach.",2101,02101 Indledende programmering,4,7-trinsskala,5.0,Mundtlig,intern censur,2017-12-22
STNR000008,"Softwareteknologi, ingeniør bach.",2105,02105 Algoritmer og datastrukturer 1,2,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-06-17
STNR000008,"Softwareteknologi, ingeniør bach.",2110,02110 Algoritmer og datastrukturer 2,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-12-19
STNR000008,"Softwareteknologi, ingeniør bach.",2121,02121 Introduktion til softwareteknologi,7,7-trinsskala,10.0,Skriftlig,intern censur,2018-01-19
STNR000008,"Softwareteknologi, ingeniør bach.",2122,02122 Fagprojekt - Bachelor i Softwareteknologi,12,7-trinsskala,10.0,Skriftlig,intern censur,2019-06-28
STNR000008,"Softwareteknologi, ingeniør bach.",2128,02128 Softwareprojekt,BE,bestået/ikke bestået,5.0,Skriftlig,intern censur,2018-06-21
STNR000008,"Softwareteknologi, ingeniør bach.",2132,02132 Computersystemer,7,7-trinsskala,10.0,Skriftlig,ekstern censur,2019-02-11
STNR000008,"Softwareteknologi, ingeniør bach.",2141,02141 Datalogisk modellering,4,7-trinsskala,10.0,Skriftlig,ekstern censur,2019-06-17
STNR000008,"Softwareteknologi, ingeniør bach.",2148,02148 Introduktion til koordinering af fordelte applikationer,7,7-trinsskala,5.0,Skriftlig,intern censur,2019-02-16
STNR000008,"Softwareteknologi, ingeniør bach.",2157,02157 Funktionsprogrammering,0,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-02-15
STNR000008,"Softwareteknologi, ingeniør bach.",2157,02157 Funktionsprogrammering,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-07-01
STNR000008,"Softwareteknologi, ingeniør bach.",2158,02158 Parallelprogrammering,4,7-trinsskala,5.0,Skriftlig,intern censur,2020-01-23
STNR000008,"Softwareteknologi, ingeniør bach.",2159,02159 Operativsystemer,12,7-trinsskala,5.0,Skriftlig,intern censur,2020-01-13
STNR000008,"Softwareteknologi, ingeniør bach.",2161,02161 Software Engineering 1,10,7-trinsskala,5.0,Skriftlig,intern censur,2018-06-15
STNR000008,"Informationsteknologi, cand.polyt.",2162,02162 Software Engineering 2,7,7-trinsskala,10.0,Skriftlig,intern censur,2021-03-14
STNR000008,"Softwareteknologi, ingeniør bach.",2170,02170 Databasesystemer,12,7-trinsskala,5.0,Skriftlig,intern censur,2019-06-03
STNR000008,"Informationsteknologi, cand.polyt.",2221,02221 Grundlæggende distribuerede systemer,10,7-trinsskala,5.0,Skriftlig,intern censur,2021-05-31
STNR000008,"Softwareteknologi, ingeniør bach.",2239,02239 Datasikkerhed,12,7-trinsskala,7.5,Skriftlig,intern censur,2020-02-03
STNR000008,"Softwareteknologi, ingeniør bach.",2247,02247 Oversætterkonstruktion,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2020-05-19
STNR000008,"Softwareteknologi, ingeniør bach.",2267,02267 Softwareudvikling af webtjenester,7,7-trinsskala,5.0,Skriftlig,intern censur,2020-02-14
STNR000008,"Informationsteknologi, cand.polyt.",2268,02268 Procesorienterede og event-drevne softwaresystemer,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2021-05-21
STNR000008,"Informationsteknologi, cand.polyt.",2291,02291 Systemintegration,12,7-trinsskala,5.0,Skriftlig,intern censur,2021-06-19
STNR000008,"Informationsteknologi, cand.polyt.",2393,02393 Programmering i C++,BE,bestået/ikke bestået,5.0,Skriftlig,intern censur,2020-12-21
STNR000008,"Softwareteknologi, ingeniør bach.",2402,02402 Introduktion til statistik,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-05-29
STNR000008,"Softwareteknologi, ingeniør bach.",2450,02450 Introduktion til machine learning og data mining,7,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-01-09
STNR000008,"Softwareteknologi, ingeniør bach.",10020,10020 Fysik 1,7,7-trinsskala,10.0,Skriftlig,intern censur,2019-06-26
STNR000008,"Softwareteknologi, ingeniør bach.",26027,26027 Grundlæggende kemi,7,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2020-06-11
STNR000008,"Informationsteknologi, cand.polyt.",42429,42429 Projektledelse,10,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2021-09-13
STNR000008,"Informationsteknologi, cand.polyt.",42490,"42490 Teknologi, ledelse, organisation og forretningsmodeller",10,7-trinsskala,10.0,Skriftlig,ekstern censur,2021-01-18
STNR000008,"Softwareteknologi, ingeniør bach.",42610,42610 Ingeniørfagets videnskabsteori,BE,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-06-22
STNR000008,"Softwareteknologi, ingeniør bach.",88383,88383 Akademisk informationssøgning - styrk dine informationskompetencer,BE,bestået/ikke bestået,2.5,Skriftlig,ekstern censur,2020-01-24
STNR000008,"Softwareteknologi, ingeniør bach.",B01-15,Institut for Matematik og Computer Science,12,7-trinsskala,15.0,Projekt,ekstern censur,2020-06-25
STNR000009,"Softwareteknologi, ingeniør bach.",1005,01005 Matematik 1,10,7-trinsskala,20.0,Skriftlig,ekstern censur,2018-06-22
STNR000009,"Softwareteknologi, ingeniør bach.",1017,01017 Diskret matematik,2,7-trinsskala,5.0,Skriftlig,intern censur,2018-01-22
STNR000009,"Softwareteknologi, ingeniør bach.",2101,02101 Indledende programmering,10,7-trinsskala,5.0,Mundtlig,intern censur,2017-12-22
STNR000009,"Softwareteknologi, ingeniør bach.",2105,02105 Algoritmer og datastrukturer 1,7,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-06-17
STNR000009,"Softwareteknologi, ingeniør bach.",2110,02110 Algoritmer og datastrukturer 2,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-05-19
STNR000009,"Softwareteknologi, ingeniør bach.",2110,02110 Algoritmer og datastrukturer 2,0,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-12-19
STNR000009,"Softwareteknologi, ingeniør bach.",2121,02121 Introduktion til softwareteknologi,7,7-trinsskala,10.0,Skriftlig,intern censur,2018-01-19
STNR000009,"Softwareteknologi, ingeniør bach.",2122,02122 Fagprojekt - Bachelor i Softwareteknologi,12,7-trinsskala,10.0,Skriftlig,intern censur,2019-06-28
STNR000009,"Softwareteknologi, ingeniør bach.",2128,02128 Softwareprojekt,BE,bestået/ikke bestået,5.0,Skriftlig,intern censur,2018-06-21
STNR000009,"Softwareteknologi, ingeniør bach.",2132,02132 Computersystemer,7,7-trinsskala,10.0,Skriftlig,ekstern censur,2019-02-11
STNR000009,"Softwareteknologi, ingeniør bach.",2141,02141 Datalogisk modellering,7,7-trinsskala,10.0,Skriftlig,ekstern censur,2019-06-17
STNR000009,"Softwareteknologi, ingeniør bach.",2148,02148 Introduktion til koordinering af fordelte applikationer,7,7-trinsskala,5.0,Skriftlig,intern censur,2019-02-16
STNR000009,"Softwareteknologi, ingeniør bach.",2157,02157 Funktionsprogrammering,0,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-02-15
STNR000009,"Softwareteknologi, ingeniør bach.",2157,02157 Funktionsprogrammering,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-07-01
STNR000009,"Softwareteknologi, ingeniør bach.",2158,02158 Parallelprogrammering,4,7-trinsskala,5.0,Skriftlig,intern censur,2020-01-23
STNR000009,"Softwareteknologi, ingeniør bach.",2159,02159 Operativsystemer,10,7-trinsskala,5.0,Skriftlig,intern censur,2020-01-13
STNR000009,"Softwareteknologi, ingeniør bach.",2161,02161 Software Engineering 1,10,7-trinsskala,5.0,Skriftlig,intern censur,2018-06-15
STNR000009,"Informationsteknologi, cand.polyt.",2162,02162 Software Engineering 2,7,7-trinsskala,10.0,Skriftlig,intern censur,2021-03-14
STNR000009,"Softwareteknologi, ingeniør bach.",2170,02170 Databasesystemer,10,7-trinsskala,5.0,Skriftlig,intern censur,2019-06-03
STNR000009,"Informationsteknologi, cand.polyt.",2221,02221 Grundlæggende distribuerede systemer,7,7-trinsskala,5.0,Skriftlig,intern censur,2021-05-31
STNR000009,"Softwareteknologi, ingeniør bach.",2239,02239 Datasikkerhed,12,7-trinsskala,7.5,Skriftlig,intern censur,2020-02-03
STNR000009,"Softwareteknologi, ingeniør bach.",2247,02247 Oversætterkonstruktion,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2020-05-19
STNR000009,"Softwareteknologi, ingeniør bach.",2267,02267 Softwareudvikling af webtjenester,7,7-trinsskala,5.0,Skriftlig,intern censur,2020-02-14
STNR000009,"Informationsteknologi, cand.polyt.",2268,02268 Procesorienterede og event-drevne softwaresystemer,7,7-trinsskala,5.0,Afløsningsopgave,intern censur,2021-05-21
STNR000009,"Informationsteknologi, cand.polyt.",2291,02291 Systemintegration,12,7-trinsskala,5.0,Skriftlig,intern censur,2021-06-19
STNR000009,"Informationsteknologi, cand.polyt.",2393,02393 Programmering i C++,BE,bestået/ikke bestået,5.0,Skriftlig,intern censur,2020-12-21
STNR000009,"Softwareteknologi, ingeniør bach.",2402,02402 Introduktion til statistik,7,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-05-29
STNR000009,"Softwareteknologi, ingeniør bach.",2450,02450 Introduktion til machine learning og data mining,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-01-09
STNR000009,"Softwareteknologi, ingeniør bach.",10020,10020 Fysik 1,4,7-trinsskala,10.0,Skriftlig,intern censur,2019-06-26
STNR000009,"Softwareteknologi, ingeniør bach.",26027,26027 Grundlæggende kemi,7,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2020-06-11
STNR000009,"Informationsteknologi, cand.polyt.",42429,42429 Projektledelse,10,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2021-09-13
STNR000009,"Informationsteknologi, cand.polyt.",42490,"42490 Teknologi, ledelse, organisation og forretningsmodeller",10,7-trinsskala,10.0,Skriftlig,ekstern censur,2021-01-18
STNR000009,"Softwareteknologi, ingeniør bach.",42610,42610 Ingeniørfagets videnskabsteori,BE,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-06-22
STNR000009,"Softwareteknologi, ingeniør bach.",88383,88383 Akademisk informationssøgning - styrk dine informationskompetencer,BE,bestået/ikke bestået,2.5,Skriftlig,ekstern censur,2020-01-24
STNR000009,"Softwareteknologi, ingeniør bach.",B01-15,Institut for Matematik og Computer Science,12,7-trinsskala,15.0,Projekt,ekstern censur,2020-06-25
STNR000010,"Softwareteknologi, ingeniør bach.",1005,01005 Matematik 1,10,7-trinsskala,20.0,Skriftlig,ekstern censur,2018-06-22
STNR000010,"Softwareteknologi, ingeniør bach.",1017,01017 Diskret matematik,4,7-trinsskala,5.0,Skriftlig,intern censur,2018-01-22
STNR000010,"Softwareteknologi, ingeniør bach.",2101,02101 Indledende programmering,10,7-trinsskala,5.0,Mundtlig,intern censur,2017-12-22
STNR000010,"Softwareteknologi, ingeniør bach.",2105,02105 Algoritmer og datastrukturer 1,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-06-17
STNR000010,"Softwareteknologi, ingeniør bach.",2121,02121 Introduktion til softwareteknologi,12,7-trinsskala,10.0,Skriftlig,intern censur,2018-01-19
STNR000010,"Softwareteknologi, ingeniør bach.",2122,02122 Fagprojekt - Bachelor i Softwareteknologi,12,7-trinsskala,10.0,Skriftlig,intern censur,2019-06-28
STNR000010,"Softwareteknologi, ingeniør bach.",2132,02132 Computersystemer,7,7-trinsskala,10.0,Skriftlig,ekstern censur,2019-02-11
STNR000010,"Softwareteknologi, ingeniør bach.",2141,02141 Datalogisk modellering,4,7-trinsskala,10.0,Skriftlig,ekstern censur,2019-06-17
STNR000010,"Softwareteknologi, ingeniør bach.",2148,02148 Introduktion til koordinering af fordelte applikationer,10,7-trinsskala,5.0,Skriftlig,intern censur,2019-02-16
STNR000010,"Softwareteknologi, ingeniør bach.",2157,02157 Funktionsprogrammering,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2019-02-15
STNR000010,"Softwareteknologi, ingeniør bach.",2159,02159 Operativsystemer,7,7-trinsskala,5.0,Skriftlig,intern censur,2021-01-14
STNR000010,"Softwareteknologi, ingeniør bach.",2161,02161 Software Engineering 1,7,7-trinsskala,5.0,Skriftlig,intern censur,2018-06-15
STNR000010,"Softwareteknologi, ingeniør bach.",2180,02180 Introduktion til kunstig intelligens,12,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-07-01
STNR000010,"Informationsteknologi, cand.polyt.",2221,02221 Grundlæggende distribuerede systemer,12,7-trinsskala,5.0,Skriftlig,intern censur,2021-08-13
STNR000010,"Informationsteknologi, cand.polyt.",2221,02221 Grundlæggende distribuerede systemer,EM,7-trinsskala,5.0,Skriftlig,intern censur,2021-05-31
STNR000010,"Informationsteknologi, cand.polyt.",2285,02285 Kunstig intelligens og multiagent-systemer,10,7-trinsskala,7.5,Skriftlig,intern censur,2021-06-30
STNR000010,"Informationsteknologi, cand.polyt.",2291,02291 Systemintegration,12,7-trinsskala,5.0,Skriftlig,intern censur,2021-06-19
STNR000010,"Softwareteknologi, ingeniør bach.",2633,02633 Introduktion til programmering og databehandling,7,7-trinsskala,5.0,Skriftlig,intern censur,2018-07-10
STNR000010,"Softwareteknologi, ingeniør bach.",10020,10020 Fysik 1,EM,7-trinsskala,10.0,Skriftlig,intern censur,2019-06-26
STNR000010,"Softwareteknologi, ingeniør bach.",10020,10020 Fysik 1,10,7-trinsskala,10.0,Skriftlig,intern censur,2020-06-17
STNR000010,"Softwareteknologi, ingeniør bach.",26027,26027 Grundlæggende kemi,EM,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2018-09-03
STNR000010,"Softwareteknologi, ingeniør bach.",26028,26028 Grundlæggende kemi på engelsk,2,7-trinsskala,5.0,Skriftlig,intern censur,2018-12-19
STNR000010,"Softwareteknologi, ingeniør bach.",42101,42101 Introduktion til operationsanalyse,EM,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-07-03
STNR000010,"Softwareteknologi, ingeniør bach.",42101,42101 Introduktion til operationsanalyse,12,7-trinsskala,5.0,Skriftlig,ekstern censur,2020-09-03
STNR000010,"Softwareteknologi, ingeniør bach.",42430,42430 Projektledelse,12,7-trinsskala,5.0,Mundtlig,ekstern censur,2021-02-12
STNR000010,"Softwareteknologi, ingeniør bach.",42611,42611 Ingeniørfagets videnskabsteori (august),10,7-trinsskala,5.0,Skriftlig,intern censur,2020-02-27
STNR000010,"Softwareteknologi, ingeniør bach.",88383,88383 Akademisk informationssøgning - styrk dine informationskompetencer,BE,bestået/ikke bestået,2.5,Skriftlig,ekstern censur,2020-07-01
STNR000010,"Softwareteknologi, ingeniør bach.",B01-20,Institut for Matematik og Computer Science,12,7-trinsskala,20.0,Projekt,ekstern censur,2021-01-27
STNR000027,"Softwareteknologi, ing.prof.bach.",1035,01035 Matematik 2,4,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-01-10
STNR000027,"Softwareteknologi, ing.prof.bach.",1035,01035 Matematik 2,0,7-trinsskala,5.0,Skriftlig,ekstern censur,2017-09-18
STNR000027,"Informationsteknologi, cand.polyt.",2220,02220 Distribuerede systemer,4,7-trinsskala,7.5,Skriftlig,intern censur,2018-06-08
STNR000027,"Informationsteknologi, cand.polyt.",2224,02224 Modellering og analyse af tidstro systemer,7,7-trinsskala,5.0,Skriftlig,intern censur,2019-07-09
STNR000027,"Informationsteknologi, cand.polyt.",2232,02232 Anvendt kryptografi,12,7-trinsskala,5.0,Skriftlig,intern censur,2019-02-17
STNR000027,"Informationsteknologi, cand.polyt.",2238,02238 Biometriske systemer,7,7-trinsskala,5.0,Skriftlig,intern censur,2018-07-23
STNR000027,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,EM,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-12-12
STNR000027,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,7,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-12-16
STNR000027,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,EM,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-12-12
STNR000027,"Informationsteknologi, cand.polyt.",2242,02242 Programanalyse,7,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-12-16
STNR000027,"Informationsteknologi, cand.polyt.",2249,02249 Beregningsmæssigt hårde problemer,4,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-05-22
STNR000027,"Informationsteknologi, cand.polyt.",2249,02249 Beregningsmæssigt hårde problemer,0,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-01-14
STNR000027,"Informationsteknologi, cand.polyt.",2267,02267 Softwareudvikling af webtjenester,10,7-trinsskala,5.0,Skriftlig,intern censur,2018-01-19
STNR000027,"Informationsteknologi, cand.polyt.",2268,02268 Procesorienterede og event-drevne softwaresystemer,10,7-trinsskala,5.0,Afløsningsopgave,intern censur,2019-05-07
STNR000027,"Informationsteknologi, cand.polyt.",2281,02281 Data-logik,EM,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-05-22
STNR000027,"Informationsteknologi, cand.polyt.",2281,02281 Data-logik,EM,7-trinsskala,5.0,Mundtlig,ekstern censur,2018-08-22
STNR000027,"Informationsteknologi, cand.polyt.",2282,02282 Algoritmer for store datamængder,EM,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-05-16
STNR000027,"Informationsteknologi, cand.polyt.",2282,02282 Algoritmer for store datamængder,EM,7-trinsskala,7.5,Skriftlig,ekstern censur,2018-08-16
STNR000027,"Informationsteknologi, cand.polyt.",2282,02282 Algoritmer for store datamængder,4,7-trinsskala,7.5,Skriftlig,ekstern censur,2019-05-21
STNR000027,"Informationsteknologi, cand.polyt.",2285,02285 Kunstig intelligens og multiagent-systemer,4,7-trinsskala,7.5,Skriftlig,intern censur,2019-07-07
STNR000027,"Informationsteknologi, cand.polyt.",2287,02287 Logiske teorier for usikkerhed og læring,2,7-trinsskala,5.0,Skriftlig,intern censur,2018-12-14
STNR000027,"Informationsteknologi, cand.polyt.",2287,02287 Logiske teorier for usikkerhed og læring,2,7-trinsskala,5.0,Skriftlig,intern censur,2018-12-14
STNR000027,"Informationsteknologi, cand.polyt.",2289,02289 Algoritmiske teknikker for moderne datamodeller,0,7-trinsskala,5.0,Mundtlig,ekstern censur,2020-05-28
STNR000027,"Informationsteknologi, cand.polyt.",2289,02289 Algoritmiske teknikker for moderne datamodeller,2,7-trinsskala,5.0,Mundtlig,ekstern censur,2020-09-11
STNR000027,"Informationsteknologi, cand.polyt.",2289,02289 Algoritmiske teknikker for moderne datamodeller,0,7-trinsskala,5.0,Mundtlig,ekstern censur,2019-12-11
STNR000027,"Informationsteknologi, cand.polyt.",2291,02291 Systemintegration,12,7-trinsskala,5.0,Skriftlig,intern censur,2018-05-30
STNR000027,"Informationsteknologi, cand.polyt.",42435,42435 Virksomhedsstart,10,7-trinsskala,5.0,Skriftlig,ekstern censur,2018-01-15
STNR000027,"Informationsteknologi, cand.polyt.",88383,88383 Akademisk informationssøgning - styrk dine informationskompetencer,BE,bestået/ikke bestået,2.5,Skriftlig,ekstern censur,2020-01-24
